[0/200] [83 steps] [state (23, 41)] [goal (105, 178)] [h_dist 219]
[0/200] [84 steps] [state (23, 40)] [goal (105, 178)] [h_dist 220]
[0/200] [85 steps] [state (22, 40)] [goal (105, 178)] [h_dist 221]
[0/200] [86 steps] [state (22, 39)] [goal (105, 178)] [h_dist 222]
[0/200] [87 steps] [state (23, 39)] [goal (105, 178)] [h_dist 221]
[0/200] [88 steps] [state (22, 39)] [goal (105, 178)] [h_dist 222]
[0/200] [89 steps] [state (22, 40)] [goal (105, 178)] [h_dist 221]
[0/200] [90 steps] [state (22, 41)] [goal (105, 178)] [h_dist 220]
[0/200] [91 steps] [state (23, 41)] [goal (105, 178)] [h_dist 219]
[0/200] [92 steps] [state (23, 42)] [goal (105, 178)] [h_dist 218]
[0/200] [93 steps] [state (23, 43)] [goal (105, 178)] [h_dist 217]
[0/200] [94 steps] [state (23, 42)] [goal (105, 178)] [h_dist 218]
[0/200] [95 steps] [state (23, 41)] [goal (105, 178)] [h_dist 219]
[0/200] [96 steps] [state (23, 42)] [goal (105, 178)] [h_dist 218]
[0/200] [97 steps] [state (22, 42)] [goal (105, 178)] [h_dist 219]
[0/200] [98 steps] [state (21, 42)] [goal (105, 178)] [h_dist 220]
[0/200] [99 steps] [state (21, 43)] [goal (105, 178)] [h_dist 219]
[0/200] [100 steps] [state (21, 42)] [goal (105, 178)] [h_dist 220]
[0/200] [101 steps] [state (21, 43)] [goal (105, 178)] [h_dist 219]
[0/200] [102 steps] [state (21, 42)] [goal (105, 178)] [h_dist 220]
[0/200] [103 steps] [state (21, 43)] [goal (105, 178)] [h_dist 219]
[0/200] [104 steps] [state (22, 43)] [goal (105, 178)] [h_dist 218]
[0/200] [105 steps] [state (23, 43)] [goal (105, 178)] [h_dist 217]
[0/200] [106 steps] [state (22, 43)] [goal (105, 178)] [h_dist 218]
[0/200] [107 steps] [state (21, 43)] [goal (105, 178)] [h_dist 219]
[0/200] [108 steps] [state (21, 44)] [goal (105, 178)] [h_dist 218]
[0/200] [109 steps] [state (21, 43)] [goal (105, 178)] [h_dist 219]
[0/200] [110 steps] [state (20, 43)] [goal (105, 178)] [h_dist 220]
[0/200] [111 steps] [state (20, 42)] [goal (105, 178)] [h_dist 221]
[0/200] [112 steps] [state (20, 41)] [goal (105, 178)] [h_dist 222]
[0/200] [113 steps] [state (20, 40)] [goal (105, 178)] [h_dist 223]
[0/200] [114 steps] [state (21, 40)] [goal (105, 178)] [h_dist 222]
[0/200] [115 steps] [state (22, 40)] [goal (105, 178)] [h_dist 221]
[0/200] [116 steps] [state (22, 39)] [goal (105, 178)] [h_dist 222]
[0/200] [117 steps] [state (22, 40)] [goal (105, 178)] [h_dist 221]
[0/200] [118 steps] [state (21, 40)] [goal (105, 178)] [h_dist 222]
[0/200] [119 steps] [state (22, 40)] [goal (105, 178)] [h_dist 221]
[0/200] [120 steps] [state (21, 40)] [goal (105, 178)] [h_dist 222]
[0/200] [121 steps] [state (22, 40)] [goal (105, 178)] [h_dist 221]
[0/200] [122 steps] [state (23, 40)] [goal (105, 178)] [h_dist 220]
[0/200] [123 steps] [state (23, 41)] [goal (105, 178)] [h_dist 219]
[0/200] [124 steps] [state (24, 41)] [goal (105, 178)] [h_dist 218]
[0/200] [125 steps] [state (23, 41)] [goal (105, 178)] [h_dist 219]
[0/200] [126 steps] [state (23, 40)] [goal (105, 178)] [h_dist 220]
[0/200] [127 steps] [state (23, 39)] [goal (105, 178)] [h_dist 221]
[0/200] [128 steps] [state (22, 39)] [goal (105, 178)] [h_dist 222]
[0/200] [129 steps] [state (22, 38)] [goal (105, 178)] [h_dist 223]
[0/200] [130 steps] [state (22, 39)] [goal (105, 178)] [h_dist 222]
[0/200] [131 steps] [state (23, 39)] [goal (105, 178)] [h_dist 221]
